Year,Year ending,Local Government Area,Postcode,Suburb,Latitude,Longitude,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded
2021,March,Alpine,3691,Dederang,-36.4738806,147.0175042,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,1
2021,March,Alpine,3691,Glen Creek,-36.4412799,146.9358703,C Drug offences,C30 Drug use and possession,C32 Drug possession,1
2021,March,Alpine,3691,Gundowring,-36.3479927,147.0752513,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,1
2021,March,Alpine,3691,Gundowring,-36.3479927,147.0752513,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,1
