Year,Year ending,Police Service Area,Local Government Area,Latitude,Longitude,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,"PSA Rate per 100,000 population","LGA Rate per 100,000 population"
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,143,118.6,126.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,131,108.6,115.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",34,28.2,30.1
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,279,231.3,246.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,172,142.6,152.1
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,214,177.4,189.3
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,4,3.3,3.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,7,5.8,6.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,17,14.1,15
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,1,0.8,0.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,18,14.9,15.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,17,14.1,15
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,7,5.8,6.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,7,5.8,6.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,37,30.7,32.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,22,18.2,19.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,28,23.2,24.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,12,9.9,10.6
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,67,55.5,59.3
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B10 Arson,B11 Cause damage by fire,67,55.5,59.3
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B10 Arson,B12 Cause a bushfire,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B10 Arson,B19 Other fire related offences,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B20 Property damage,B21 Criminal damage,665,551.3,588.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B20 Property damage,B22 Graffiti,77,63.8,68.1
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B20 Property damage,B29 Other property damage offences,5,4.1,4.4
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,127,105.3,112.3
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3,2.5,2.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,1,0.8,0.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,282,233.8,249.4
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,137,113.6,121.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,314,260.3,277.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,903,748.7,798.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B40 Theft,B43 Steal from a retail store,336,278.6,297.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,65,53.9,57.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,122,101.1,107.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B40 Theft,B49 Other theft,513,425.3,453.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,61,50.6,54
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,226,187.4,199.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B50 Deception,B54 State false information,10,8.3,8.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,1,0.8,0.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,3,2.5,2.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,42,34.8,37.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,13,10.8,11.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,3,2.5,2.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C30 Drug use and possession,C31 Drug use,1,0.8,0.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C30 Drug use and possession,C32 Drug possession,115,95.3,101.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C90 Other drug offences,C99 Other drug offences,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,46,38.1,40.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,100,82.9,88.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,4,3.3,3.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,4,3.3,3.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,60,49.7,53.1
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,25,20.7,22.1
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,5,4.1,4.4
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,19,15.8,16.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,0.8,0.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,20,16.6,17.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,265,219.7,234.4
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,9,7.5,8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,13,10.8,11.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,17,14.1,15
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,599,496.6,529.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,56,46.4,49.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,270,223.9,238.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,35,29,31
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,F Other offences,F20 Transport regulation offences,F21 Public transport,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences,1,0.8,0.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,338,280.2,299
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,5,4.1,4.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2,1.7,26.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,14,11.6,185.1
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,5,4.1,66.1
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",4,3.3,52.9
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,18,14.9,238
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,8,6.6,105.8
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,12,9.9,158.7
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,1,0.8,13.2
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,1,0.8,13.2
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,1,0.8,13.2
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,3,2.5,39.7
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,0.8,13.2
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,2,1.7,26.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,2,1.7,26.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,1.7,26.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3,2.5,39.7
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,B Property and deception offences,B10 Arson,B11 Cause damage by fire,2,1.7,26.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,B Property and deception offences,B10 Arson,B19 Other fire related offences,5,4.1,66.1
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,B Property and deception offences,B20 Property damage,B21 Criminal damage,35,29,462.8
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,27,22.4,357
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,11,9.1,145.5
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,11,9.1,145.5
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,28,23.2,370.3
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,2,1.7,26.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,B Property and deception offences,B40 Theft,B49 Other theft,42,34.8,555.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,2,1.7,26.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,5,4.1,66.1
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,B Property and deception offences,B50 Deception,B54 State false information,1,0.8,13.2
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,8,6.6,105.8
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,C Drug offences,C30 Drug use and possession,C32 Drug possession,6,5,79.3
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,12,9.9,158.7
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,2,1.7,26.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,2,1.7,26.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,0.8,13.2
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,7,5.8,92.6
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,1,0.8,13.2
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,14,11.6,185.1
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,4,3.3,52.9
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,3,2.5,39.7
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,4,3.3,52.9
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,2,1.7,26.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,F Other offences,F90 Miscellaneous offences,F91 Environmental offences,2,1.7,26.4
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,27,22.4,357
2021,March,Ballarat,Pyrenees,-37.3879637,143.4770359,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,1,0.8,13.2
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,5,3.8,3.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,84,63.9,63.9
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,107,81.3,81.3
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",53,40.3,40.3
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,216,164.2,164.2
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,163,123.9,123.9
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,113,85.9,85.9
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,1,0.8,0.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,4,3,3
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,26,19.8,19.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,4,3,3
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,1,0.8,0.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,1,0.8,0.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,22,16.7,16.7
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,11,8.4,8.4
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,11,8.4,8.4
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,12,9.1,9.1
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,29,22,22
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,42,31.9,31.9
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,11,8.4,8.4
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,10,7.6,7.6
2021,March,Banyule,Banyule,-37.7314254,145.082419,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,23,17.5,17.5
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B10 Arson,B11 Cause damage by fire,19,14.4,14.4
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B20 Property damage,B21 Criminal damage,494,375.5,375.5
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B20 Property damage,B22 Graffiti,74,56.2,56.2
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B20 Property damage,B29 Other property damage offences,9,6.8,6.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,33,25.1,25.1
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,339,257.7,257.7
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,99,75.3,75.3
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,163,123.9,123.9
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,891,677.3,677.3
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B40 Theft,B43 Steal from a retail store,182,138.3,138.3
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,73,55.5,55.5
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,135,102.6,102.6
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B40 Theft,B49 Other theft,350,266,266
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,48,36.5,36.5
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,266,202.2,202.2
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B50 Deception,B54 State false information,13,9.9,9.9
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,3,2.3,2.3
2021,March,Banyule,Banyule,-37.7314254,145.082419,B Property and deception offences,B50 Deception,B59 Other deception offences,10,7.6,7.6
2021,March,Banyule,Banyule,-37.7314254,145.082419,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,67,50.9,50.9
2021,March,Banyule,Banyule,-37.7314254,145.082419,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,9,6.8,6.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,16,12.2,12.2
2021,March,Banyule,Banyule,-37.7314254,145.082419,C Drug offences,C30 Drug use and possession,C31 Drug use,1,0.8,0.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,C Drug offences,C30 Drug use and possession,C32 Drug possession,238,180.9,180.9
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,31,23.6,23.6
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,116,88.2,88.2
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,4,3,3
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,3,2.3,2.3
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,18,13.7,13.7
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,12,9.1,9.1
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,4,3,3
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,13,9.9,9.9
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,1,0.8,0.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,1,0.8,0.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,2,1.5,1.5
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D30 Public nuisance offences,D33 Begging,3,2.3,2.3
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,38,28.9,28.9
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1,0.8,0.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,D Public order and security offences,D40 Public security offences,D43 Hacking,2,1.5,1.5
2021,March,Banyule,Banyule,-37.7314254,145.082419,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,4,3,3
2021,March,Banyule,Banyule,-37.7314254,145.082419,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,55,41.8,41.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,9,6.8,6.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,38,28.9,28.9
2021,March,Banyule,Banyule,-37.7314254,145.082419,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,13,9.9,9.9
2021,March,Banyule,Banyule,-37.7314254,145.082419,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,360,273.6,273.6
2021,March,Banyule,Banyule,-37.7314254,145.082419,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,70,53.2,53.2
2021,March,Banyule,Banyule,-37.7314254,145.082419,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,506,384.6,384.6
2021,March,Banyule,Banyule,-37.7314254,145.082419,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,72,54.7,54.7
2021,March,Banyule,Banyule,-37.7314254,145.082419,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences,1,0.8,0.8
2021,March,Banyule,Banyule,-37.7314254,145.082419,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,448,340.5,340.5
2021,March,Banyule,Banyule,-37.7314254,145.082419,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,2,1.5,1.5
